ÍNDICE,MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING.
0.666666666666667,0.727272727272727,0.7114516,0.198630136986301,0,0.435877317073171,0.001532855666311
1,0.818181818181818,0.71616665,0.281050232876712,0.084769230769231,0.578590731707317,0.01149193322346
0.666666666666667,0.090909090909091,0.48983335,0.780490493150685,0.672153846153846,0.140309512195122,0.096569906977559
0.333333333333333,0.727272727272727,0.76612905,0.273972602739726,0.000307692307692,0.338840731707317,0.009693529375272
0.666666666666667,0.090909090909091,0.50564515,0.693548383561644,0.268461538461538,0.315318780487805,0.023314877608211
1,0.090909090909091,0.4037097,0.838046835616438,0.544923076923077,0.202989756097561,0.05928198677523
0.333333333333333,0.363636363636364,0.4185,0.824429219178082,0.200615384615385,0.079132682926829,0.044263033740624
1,0.363636363636364,0.49116665,0.761073054794521,0.129538461538462,0.131168292682927,0.107631764824594
0.666666666666667,0.272727272727273,0.50919355,0.809434383561644,0.711538461538462,0.161552682926829,0.114088257449679
0.666666666666667,0,0.47887095,0.759942547945205,0.486615384615385,0.18069756097561,0.093504195644938
0.666666666666667,0.727272727272727,0.6717742,0.268890849315068,0.002615384615385,0.532913658536585,0.003395370525468
0.333333333333333,0.727272727272727,0.6796774,0.324127260273973,0.000615384615385,0.316024146341463,0.021733944710965
0,0.727272727272727,0.6687097,0.228568273972603,0,0.595331707317073,0.008468624777957
0.666666666666667,0.909090909090909,0.5337097,0.684710561643835,0.216,0.247049512195122,0.032142840974426
0,0,0.4896774,0.716968630136986,0.200153846153846,0.156831951219512,0.149991848269116
0.333333333333333,0.090909090909091,0.43290325,0.814737068493151,0.444769230769231,0.286650975609756,0.104883987840436
1,0.545454545454545,0.60033335,0.463356164383562,0,0.257452682926829,0.102627955600129
1,0.181818181818182,0.37785715,0.860567520547945,0.503538461538462,0.131242682926829,0.094766186744633
0.666666666666667,0.636363636363636,0.5553226,0.399138315068493,0,0.415108536585366,0.003395370525468
1,0.363636363636364,0.47566665,0.777511410958904,0.336615384615385,0.226016341463415,0.230541059681449
1,0,0.4466129,0.770547945205479,0.249230769230769,0.215053658536585,0.059069506535892
0.333333333333333,0,0.5169355,0.73784798630137,0.350615384615385,0.196170975609756,0.057967305664123
1,0.636363636363636,0.62596775,0.330313739726027,0,0.379801707317073,0.002242328433846
0.666666666666667,0.545454545454545,0.63816665,0.495547945205479,0,0.667710487804878,0.008665870411328
0,0.636363636363636,0.5819355,0.352408301369863,0,0.333857804878049,0.005162762893321
0,0.363636363636364,0.53183335,0.744977164383561,0.142769230769231,0.225203170731707,0.117734539595985
0.333333333333333,0.636363636363636,0.70741935,0.387428191780822,0,0.35615,0.012989329362864
0.666666666666667,0.727272727272727,0.7496774,0.285572246575342,0,0.833464390243902,0.006593597052097
0.666666666666667,0.454545454545455,0.62566665,0.610804246575343,0.039384615384615,0.137949024390244,0.040511185466777
0.666666666666667,0.909090909090909,0.6383871,0.521321260273973,0.239076923076923,0.683975853658537,0.015447855950627
0.666666666666667,0.181818181818182,0.42267855,0.80418297260274,0.482769230769231,0.235069024390244,0.053194138232325
0.666666666666667,1,0.496,0.736529684931507,0.291384615384615,0.21219512195122,0.015547536044006
