MÊS,TEMP MÁX. MÉDIA (ºC) [MÊS-1],UMIDADE REL. MÉDIA (%) [MÊS-1],PRECIPITAÇÃO ACUMULADA (mm) [MÊS-1],VEL. MÉDIA VENTO (mps) [MÊS-1],ATING. [MES-1],ATING. [MES-2],ATING. [MES-0]
1,34.603333,70.548387,149.4,1.210312,0.14886736138102,0.081400379868439,0.199388256817792
2,31.483871,82.298387,429.6,1.468829,0.199388256817792,0.14886736138102,0.149005202675662
3,35.458824,60.982759,4.8,1.278255,0.149005202675662,0.199388256817792,0.097550168658167
4,32.903333,78.741935,161.7,0.868817,0.097550168658167,0.149005202675662,0.084686410153793
5,35.144828,69.6,80.5,0.948501,0.084686410153793,0.097550168658167,0.065033445772111
6,36.977419,59.685484,2.6,1.373285,0.065033445772111,0.084686410153793,0.027156823509233
7,35.739286,56.866667,18.2,1.925017,0.027156823509233,0.065033445772111,0.012149105254131
8,37.377778,42.330645,0,2.117207,0.012149105254131,0.027156823509233,0.007861185752673
9,38.878571,38.693548,0,2.459241,0.007861185752673,0.012149105254131,0.008218512377794
10,37.196667,51.716667,100.1,2.541184,0.008218512377794,0.007861185752673,0.010719798753645
11,36.687097,58.604839,38,1.616141,0.010719798753645,0.008218512377794,0.01679435138071
12,33.938462,68.658333,180.9,0.971432,0.01679435138071,0.010719798753645,0.026084843633869
1,33.296774,75.5,254.1,0.92043,0.026084843633869,0.01679435138071,0.036612538225233
2,32.145161,81.717742,424.1,0.862366,0.036612538225233,0.026084843633869,0.06625125964566
3,31.046429,82.107143,288.8,0.947059,0.06625125964566,0.036612538225233,0.056139225278691
4,32.483871,80.701613,207.4,0.789581,0.056139225278691,0.06625125964566,0.070435549728544
5,33.603333,77.983333,163.9,0.618889,0.070435549728544,0.056139225278691,0.084034492497917
6,35.629032,66.419355,17.8,1.072222,0.084034492497917,0.070435549728544,0.03277693898259
7,36.12,53.825,0,2.191753,0.03277693898259,0.084034492497917,0.013598942769372
8,35.154839,44.33871,0,3.331005,0.013598942769372,0.03277693898259,0.01046072520721
9,39.132,42.056452,0,1.9088,0.01046072520721,0.013598942769372,0.003835599242643
10,39.548276,32.925,0,3.684119,0.003835599242643,0.01046072520721,0.014993706130334
11,38.283871,47.548387,21.6,2.006223,0.014993706130334,0.003835599242643,0.007671198485287
12,33.626667,72.491667,197.1,1.17178,0.007671198485287,0.014993706130334,0.013250251929132
